Title,Link,Maddy Rating,Hunter Rating,Date Cooked,Notes,,
,https://cooking.nytimes.com/recipes/1023313-bulgogi-style-tofu?action=click&module=Collection%20Band%20Recipe%20Card&region=Vegetarian%20Potluck%20Recipes&pgType=supercollection&rank=3,,,,,,
,https://cooking.nytimes.com/recipes/1025868-chewy-brownie-cookies,,,,,,
,https://cooking.nytimes.com/recipes/1022535-chewy-earl-grey-sugar-cookies,,,,,,
,https://cooking.nytimes.com/recipes/1025969-parmesan-crusted-salmon-caesar-salad,,,,,,
,https://www.momontimeout.com/the-best-chicken-marinade-recipe/,,,,,,
,https://cooking.nytimes.com/recipes/1017482-grilled-sesame-lime-chicken-breasts?algo=cooking_search_relevance_metric_ios_and_web&fellback=false&imp_id=7027603434435337&req_id=7619444343449484&surface=cooking-search-web&variant=0_relevance_reranking,,,,,,
,https://cooking.nytimes.com/recipes/1023338-orzo-salad-with-lentils-and-zucchini?algo=cooking_search_relevance_metric_ios_and_web&fellback=false&imp_id=654983409578968&req_id=838710417069018&surface=cooking-search-web&variant=0_relevance_reranking,,,,,,
,https://cooking.nytimes.com/recipes/1014030-baba-ghanouj?smid=ck-recipe-iOS-share,,,,,,
,https://cooking.nytimes.com/recipes/1025927-cabbage-parm?smid=ck-recipe-iOS-share,,,,,,
,https://cooking.nytimes.com/recipes/3783-original-plum-torte?smid=ck-recipe-iOS-share,,,,,,
,https://cooking.nytimes.com/recipes/1015178-marcella-hazans-tomato-sauce?smid=ck-recipe-iOS-share,,,,,,
,https://cooking.nytimes.com/recipes/1020433-cowboy-caviar?smid=ck-recipe-iOS-share,,,,,,
,https://cooking.nytimes.com/recipes/1024956-sweet-chile-grain-bowl-with-tofu?smid=ck-recipe-iOS-share,,,,,,
,https://cooking.nytimes.com/recipes/1027150-dijon-chicken-with-tomatoes-and-scallions?smid=ck-recipe-iOS-share,,,,,,
,https://cooking.nytimes.com/recipes/1022791-brown-butter-orzo-with-butternut-squash?smid=ck-recipe-iOS-share,,,,,,
,https://cooking.nytimes.com/recipes/12866-stir-fried-rainbow-peppers-eggplant-and-tofu?smid=ck-recipe-iOS-share,,,,,,
,https://cooking.nytimes.com/recipes/1015382-curried-lentil-squash-and-apple-stew?smid=ck-recipe-iOS-share,,,,,,
,https://www.foodandwine.com/recipes/moroccan-chickpea-carrot-and-spinach-soup,,,,,,
,https://cooking.nytimes.com/recipes/1024491-cabbage-soup,,,,,,
,https://cooking.nytimes.com/recipes/1022791-brown-butter-orzo-with-butternut-squash?algo=cooking_search_relevance_metric_ios_and_web&fellback=false&imp_id=1578697725519704&req_id=2953169727494988&surface=cooking-search-web&variant=0_relevance_reranking,,,,,,
,https://cooking.nytimes.com/recipes/1012629-more-vegetable-than-egg-frittata?algo=cooking_search_relevance_metric_ios_and_web&fellback=false&imp_id=3126556175949566&req_id=5304386165072009&surface=cooking-search-web&variant=0_relevance_reranking,,,,,,
,https://cooking.nytimes.com/recipes/1022486-beet-and-barley-salad-with-date-citrus-vinaigrette?algo=cooking_search_relevance_metric_ios_and_web&fellback=false&imp_id=3756858417068539&req_id=1042241834191842&surface=cooking-search-web&variant=0_relevance_reranking,,,,,,
,https://www.bonappetit.com/recipe/bas-best-green-bean-casserole?srsltid=AfmBOoojQf0XsbBaektq5QKcbAOHzjRMzlz72pMRq-aNZGJzOd2JlX2T,,,,,,
,https://cooking.nytimes.com/recipes/1024671-sweet-potato-hash-with-tofu?algo=cooking_search_relevance_metric_ios_and_web&fellback=false&imp_id=4477837339675467&req_id=3807110868537332&surface=cooking-search&variant=0_relevance_reranking,,,,,,
,https://www.dianekochilas.com/eggplants-stuffed-with-onions-raisins-and-grape-molasses/,,,,,,
,https://cooking.nytimes.com/recipes/1025354-grilled-pork-chops-with-dill-pickle-butter,,,,,,
,https://cooking.nytimes.com/recipes/1024471-spicy-tuna-salad-with-crispy-rice,,,,,,
,https://cooking.nytimes.com/recipes/1023225-turkey-chili,,,,,,
"Prompt: 1 red meat, 1 fish, 1 veg, 1 chicken/veg (all with protein)",,,,,,,
"4 servings per dish, 15-20g protein per serving, fresh produce as much as possible",,,,,,,
,https://cooking.nytimes.com/recipes/1026425-smashed-beef-kebab-with-cucumber-yogurt,,,,,,
,https://cooking.nytimes.com/recipes/1020045-coconut-miso-salmon-curry?algo=cooking_search_relevance_metric_ios_and_web&fellback=false&imp_id=7514430380702233&req_id=4106792873569814&surface=cooking-search&variant=0_relevance_reranking,,,,,,
,https://cooking.nytimes.com/recipes/1020993-tofu-and-green-beans-with-chile-crisp,,,,,,
,https://cooking.nytimes.com/recipes/1027269-i-cant-believe-its-not-chicken-super-savory-grated-tofu,,,,,,
,https://cooking.nytimes.com/recipes/1020765-sheet-pan-salmon-and-broccoli-with-sesame-and-ginger?algo=cooking_search_relevance_metric_ios_and_web&fellback=false&imp_id=7634466321069921&req_id=6209147969230098&surface=cooking-search&variant=0_relevance_reranking,,,,,,
,https://cooking.nytimes.com/recipes/1025554-sheet-pan-chicken-tikka-thighs,,,,,,
,https://cooking.nytimes.com/recipes/1018484-pasta-and-bean-soup?algo=cooking_search_relevance_metric_ios_and_web&fellback=false&imp_id=2262691276708316&req_id=87163729668245&surface=cooking-search&variant=0_relevance_reranking,,,,,,
,https://cooking.nytimes.com/recipes/1026917-keema-palak-ground-chicken-and-spinach-curry,,,,,,
,https://cooking.nytimes.com/recipes/759847063-pork-tenderloin-with-chickpeas-tomatoes-and-oregano-vinaigrette,,,,,,
,https://cooking.nytimes.com/recipes/1025300-quick-chicken-paprikas,,,,,,
,https://cooking.nytimes.com/recipes/1026551-spicy-creamy-weeknight-bolognese,,,,,,
,https://cooking.nytimes.com/recipes/1020970-turmeric-black-pepper-chicken-with-asparagus,,,,,,
,https://cooking.nytimes.com/recipes/1027227-mustardy-sheet-pan-salmon-with-greens?algo=cooking_search_relevance_metric_ios_and_web&fellback=false&imp_id=4253074964794178&req_id=6209147969230098&surface=cooking-search&variant=0_relevance_reranking,,,,,,
,https://cooking.nytimes.com/recipes/1025300-quick-chicken-paprikas,,,,,,
,https://cooking.nytimes.com/recipes/1026917-keema-palak-ground-chicken-and-spinach-curry,,,,,,
,https://cooking.nytimes.com/recipes/1018484-pasta-and-bean-soup?algo=cooking_search_relevance_metric_ios_and_web&fellback=false&imp_id=2262691276708316&req_id=87163729668245&surface=cooking-search&variant=0_relevance_reranking,,,,,,
,https://cooking.nytimes.com/recipes/1023157-penne-al-baffo-creamy-tomato-ham-pasta?algo=cooking_search_relevance_metric_ios_and_web&fellback=false&imp_id=2346382209785291&req_id=7374111895036584&surface=cooking-search&variant=0_relevance_reranking,,,,,,
,https://cooking.nytimes.com/recipes/1025436-one-pot-chicken-and-rice-with-caramelized-lemon?algo=cooking_search_relevance_metric_ios_and_web&fellback=false&imp_id=4954679938098220&req_id=7729174257877057&surface=cooking-search&variant=0_relevance_reranking,,,,,,
